Student ID,Name,Subject Name,Grade,Remarks,Teacher Exp,Attendance (%),Parental Education,Gender,CGPA
4,Student_4,Machine Learning Laboratory,9,4,3,78.24198767552731,Graduate,Male,8.681818181818182
5,Student_5,Database Management System,9,5,0,76.35753829476486,Postgraduate,Female,8.954545454545455
5,Student_5,Machine Learning,9,3,3,76.35753829476486,Postgraduate,Female,8.954545454545455
5,Student_5,Design and Analysis of Algorithms,7,1,2,76.35753829476486,Postgraduate,Female,8.954545454545455
5,Student_5,Computer Organization and Architecture,10,0,0,76.35753829476486,Postgraduate,Female,8.954545454545455
5,Student_5,Microprocessor and Microcontroller,9,3,0,76.35753829476486,Postgraduate,Female,8.954545454545455
5,Student_5,Economics for Engineers,10,2,0,76.35753829476486,Postgraduate,Female,8.954545454545455
5,Student_5,Database Management System Laboratory,8,1,3,76.35753829476486,Postgraduate,Female,8.954545454545455
5,Student_5,Machine Learning Laboratory,10,0,3,76.35753829476486,Postgraduate,Female,8.954545454545455
6,Student_6,Database Management System,5,5,2,81.08089662000961,High School,Female,8.909090909090908
6,Student_6,Machine Learning,10,0,3,81.08089662000961,High School,Female,8.909090909090908
6,Student_6,Design and Analysis of Algorithms,9,1,3,81.08089662000961,High School,Female,8.909090909090908
6,Student_6,Computer Organization and Architecture,10,0,0,81.08089662000961,High School,Female,8.909090909090908
6,Student_6,Microprocessor and Microcontroller,10,3,1,81.08089662000961,High School,Female,8.909090909090908
6,Student_6,Economics for Engineers,10,3,2,81.08089662000961,High School,Female,8.909090909090908
6,Student_6,Database Management System Laboratory,10,5,3,81.08089662000961,High School,Female,8.909090909090908
6,Student_6,Machine Learning Laboratory,5,5,2,81.08089662000961,High School,Female,8.909090909090908
7,Student_7,Database Management System,8,2,3,80.12423732371603,High School,Female,9.227272727272727
7,Student_7,Machine Learning,10,1,2,80.12423732371603,High School,Female,9.227272727272727
7,Student_7,Design and Analysis of Algorithms,10,3,0,80.12423732371603,High School,Female,9.227272727272727
7,Student_7,Computer Organization and Architecture,10,1,3,80.12423732371603,High School,Female,9.227272727272727
7,Student_7,Microprocessor and Microcontroller,10,0,1,80.12423732371603,High School,Female,9.227272727272727
7,Student_7,Economics for Engineers,7,2,2,80.12423732371603,High School,Female,9.227272727272727
7,Student_7,Database Management System Laboratory,8,0,3,80.12423732371603,High School,Female,9.227272727272727
7,Student_7,Machine Learning Laboratory,10,5,3,80.12423732371603,High School,Female,9.227272727272727
8,Student_8,Database Management System,10,0,2,80.43488691242436,High School,Male,8.636363636363637
8,Student_8,Machine Learning,7,3,3,80.43488691242436,High School,Male,8.636363636363637
8,Student_8,Design and Analysis of Algorithms,7,3,2,80.43488691242436,High School,Male,8.636363636363637
8,Student_8,Computer Organization and Architecture,8,3,1,80.43488691242436,High School,Male,8.636363636363637
8,Student_8,Microprocessor and Microcontroller,10,2,0,80.43488691242436,High School,Male,8.636363636363637
8,Student_8,Economics for Engineers,10,1,1,80.43488691242436,High School,Male,8.636363636363637
8,Student_8,Database Management System Laboratory,9,0,3,80.43488691242436,High School,Male,8.636363636363637
8,Student_8,Machine Learning Laboratory,10,4,3,80.43488691242436,High School,Male,8.636363636363637
9,Student_9,Database Management System,9,3,2,82.69977359930793,Postgraduate,Male,9.227272727272727
9,Student_9,Machine Learning,10,5,1,82.69977359930793,Postgraduate,Male,9.227272727272727
9,Student_9,Design and Analysis of Algorithms,10,5,3,82.69977359930793,Postgraduate,Male,9.227272727272727
9,Student_9,Computer Organization and Architecture,8,5,0,82.69977359930793,Postgraduate,Male,9.227272727272727
9,Student_9,Microprocessor and Microcontroller,9,4,3,82.69977359930793,Postgraduate,Male,9.227272727272727
9,Student_9,Economics for Engineers,10,2,3,82.69977359930793,Postgraduate,Male,9.227272727272727
9,Student_9,Database Management System Laboratory,10,3,1,82.69977359930793,Postgraduate,Male,9.227272727272727
9,Student_9,Machine Learning Laboratory,7,2,3,82.69977359930793,Postgraduate,Male,9.227272727272727
10,Student_10,Database Management System,10,4,2,87.68389522403902,High School,Male,9.5
10,Student_10,Machine Learning,7,4,0,87.68389522403902,High School,Male,9.5
10,Student_10,Design and Analysis of Algorithms,10,2,3,87.68389522403902,High School,Male,9.5
10,Student_10,Computer Organization and Architecture,10,5,1,87.68389522403902,High School,Male,9.5
10,Student_10,Microprocessor and Microcontroller,10,1,3,87.68389522403902,High School,Male,9.5
10,Student_10,Economics for Engineers,10,2,1,87.68389522403902,High School,Male,9.5
10,Student_10,Database Management System Laboratory,8,0,0,87.68389522403902,High School,Male,9.5
10,Student_10,Machine Learning Laboratory,10,4,1,87.68389522403902,High School,Male,9.5
11,Student_11,Database Management System,9,0,3,80.1503526720866,High School,Female,8.772727272727273
11,Student_11,Machine Learning,9,5,3,80.1503526720866,High School,Female,8.772727272727273
11,Student_11,Design and Analysis of Algorithms,7,3,1,80.1503526720866,High School,Female,8.772727272727273
11,Student_11,Computer Organization and Architecture,9,5,2,80.1503526720866,High School,Female,8.772727272727273
11,Student_11,Microprocessor and Microcontroller,9,4,1,80.1503526720866,High School,Female,8.772727272727273
11,Student_11,Economics for Engineers,10,3,1,80.1503526720866,High School,Female,8.772727272727273
11,Student_11,Database Management System Laboratory,10,3,0,80.1503526720866,High School,Female,8.772727272727273
11,Student_11,Machine Learning Laboratory,8,3,3,80.1503526720866,High School,Female,8.772727272727273
12,Student_12,Database Management System,10,3,1,80.1378595091221,High School,Male,9.318181818181818
12,Student_12,Machine Learning,9,3,3,80.1378595091221,High School,Male,9.318181818181818
12,Student_12,Design and Analysis of Algorithms,9,5,2,80.1378595091221,High School,Male,9.318181818181818
12,Student_12,Computer Organization and Architecture,10,3,1,80.1378595091221,High School,Male,9.318181818181818
12,Student_12,Microprocessor and Microcontroller,10,4,1,80.1378595091221,High School,Male,9.318181818181818
12,Student_12,Economics for Engineers,8,4,0,80.1378595091221,High School,Male,9.318181818181818
12,Student_12,Database Management System Laboratory,10,1,3,80.1378595091221,High School,Male,9.318181818181818
12,Student_12,Machine Learning Laboratory,8,4,0,80.1378595091221,High School,Male,9.318181818181818
13,Student_13,Database Management System,10,3,1,77.71061748742264,Postgraduate,Male,8.772727272727273
13,Student_13,Machine Learning,8,0,0,77.71061748742264,Postgraduate,Male,8.772727272727273
13,Student_13,Design and Analysis of Algorithms,10,0,1,77.71061748742264,Postgraduate,Male,8.772727272727273
13,Student_13,Computer Organization and Architecture,8,3,3,77.71061748742264,Postgraduate,Male,8.772727272727273
13,Student_13,Microprocessor and Microcontroller,9,3,0,77.71061748742264,Postgraduate,Male,8.772727272727273
13,Student_13,Economics for Engineers,9,1,1,77.71061748742264,Postgraduate,Male,8.772727272727273
13,Student_13,Database Management System Laboratory,7,3,2,77.71061748742264,Postgraduate,Male,8.772727272727273
13,Student_13,Machine Learning Laboratory,6,0,3,77.71061748742264,Postgraduate,Male,8.772727272727273
14,Student_14,Database Management System,10,1,0,97.44806606010563,High School,Male,9.0
14,Student_14,Machine Learning,9,3,3,97.44806606010563,High School,Male,9.0
14,Student_14,Design and Analysis of Algorithms,9,0,0,97.44806606010563,High School,Male,9.0
14,Student_14,Computer Organization and Architecture,8,3,2,97.44806606010563,High School,Male,9.0
14,Student_14,Microprocessor and Microcontroller,9,2,3,97.44806606010563,High School,Male,9.0
14,Student_14,Economics for Engineers,10,5,1,97.44806606010563,High School,Male,9.0
14,Student_14,Database Management System Laboratory,9,0,1,97.44806606010563,High School,Male,9.0
14,Student_14,Machine Learning Laboratory,7,1,1,97.44806606010563,High School,Male,9.0
15,Student_15,Database Management System,6,3,0,69.10635243055789,Graduate,Male,8.818181818181818
15,Student_15,Machine Learning,10,1,0,69.10635243055789,Graduate,Male,8.818181818181818
15,Student_15,Design and Analysis of Algorithms,8,0,2,69.10635243055789,Graduate,Male,8.818181818181818
15,Student_15,Computer Organization and Architecture,10,5,3,69.10635243055789,Graduate,Male,8.818181818181818
15,Student_15,Microprocessor and Microcontroller,9,4,2,69.10635243055789,Graduate,Male,8.818181818181818
15,Student_15,Economics for Engineers,10,0,0,69.10635243055789,Graduate,Male,8.818181818181818
15,Student_15,Database Management System Laboratory,7,5,0,69.10635243055789,Graduate,Male,8.818181818181818
15,Student_15,Machine Learning Laboratory,10,3,0,69.10635243055789,Graduate,Male,8.818181818181818
16,Student_16,Database Management System,10,5,2,83.49602097021025,High School,Male,8.727272727272727
16,Student_16,Machine Learning,9,4,0,83.49602097021025,High School,Male,8.727272727272727
16,Student_16,Design and Analysis of Algorithms,10,2,0,83.49602097021025,High School,Male,8.727272727272727
16,Student_16,Computer Organization and Architecture,8,0,2,83.49602097021025,High School,Male,8.727272727272727
16,Student_16,Microprocessor and Microcontroller,9,5,2,83.49602097021025,High School,Male,8.727272727272727
16,Student_16,Economics for Engineers,8,4,2,83.49602097021025,High School,Male,8.727272727272727
16,Student_16,Database Management System Laboratory,5,0,1,83.49602097021025,High School,Male,8.727272727272727
16,Student_16,Machine Learning Laboratory,7,5,2,83.49602097021025,High School,Male,8.727272727272727
17,Student_17,Database Management System,10,4,0,60.605384033662695,High School,Female,9.318181818181818
17,Student_17,Machine Learning,9,4,0,60.605384033662695,High School,Female,9.318181818181818
17,Student_17,Design and Analysis of Algorithms,10,0,0,60.605384033662695,High School,Female,9.318181818181818
17,Student_17,Computer Organization and Architecture,10,2,0,60.605384033662695,High School,Female,9.318181818181818
17,Student_17,Microprocessor and Microcontroller,8,1,1,60.605384033662695,High School,Female,9.318181818181818
17,Student_17,Economics for Engineers,9,4,0,60.605384033662695,High School,Female,9.318181818181818
17,Student_17,Database Management System Laboratory,9,3,3,60.605384033662695,High School,Female,9.318181818181818
17,Student_17,Machine Learning Laboratory,8,0,2,60.605384033662695,High School,Female,9.318181818181818
18,Student_18,Database Management System,10,0,0,71.16512473805238,High School,Female,8.590909090909092
18,Student_18,Machine Learning,10,5,1,71.16512473805238,High School,Female,8.590909090909092
18,Student_18,Design and Analysis of Algorithms,5,4,2,71.16512473805238,High School,Female,8.590909090909092
18,Student_18,Computer Organization and Architecture,9,2,3,71.16512473805238,High School,Female,8.590909090909092
18,Student_18,Microprocessor and Microcontroller,9,3,0,71.16512473805238,High School,Female,8.590909090909092
18,Student_18,Economics for Engineers,9,5,2,71.16512473805238,High School,Female,8.590909090909092
18,Student_18,Database Management System Laboratory,9,5,2,71.16512473805238,High School,Female,8.590909090909092
18,Student_18,Machine Learning Laboratory,10,3,1,71.16512473805238,High School,Female,8.590909090909092
19,Student_19,Database Management System,10,3,1,96.89802933217672,Graduate,Female,9.272727272727273
19,Student_19,Machine Learning,10,3,3,96.89802933217672,Graduate,Female,9.272727272727273
19,Student_19,Design and Analysis of Algorithms,10,0,0,96.89802933217672,Graduate,Female,9.272727272727273
19,Student_19,Computer Organization and Architecture,9,4,0,96.89802933217672,Graduate,Female,9.272727272727273
19,Student_19,Microprocessor and Microcontroller,8,1,2,96.89802933217672,Graduate,Female,9.272727272727273
19,Student_19,Economics for Engineers,9,1,1,96.89802933217672,Graduate,Female,9.272727272727273
19,Student_19,Database Management System Laboratory,7,4,0,96.89802933217672,Graduate,Female,9.272727272727273
19,Student_19,Machine Learning Laboratory,10,0,1,96.89802933217672,Graduate,Female,9.272727272727273
20,Student_20,Database Management System,8,0,1,66.91701714644849,Postgraduate,Male,8.409090909090908
20,Student_20,Machine Learning,9,0,1,66.91701714644849,Postgraduate,Male,8.409090909090908
20,Student_20,Design and Analysis of Algorithms,10,4,3,66.91701714644849,Postgraduate,Male,8.409090909090908
20,Student_20,Computer Organization and Architecture,8,4,2,66.91701714644849,Postgraduate,Male,8.409090909090908
20,Student_20,Microprocessor and Microcontroller,7,4,0,66.91701714644849,Postgraduate,Male,8.409090909090908
20,Student_20,Economics for Engineers,7,0,0,66.91701714644849,Postgraduate,Male,8.409090909090908
20,Student_20,Database Management System Laboratory,10,2,0,66.91701714644849,Postgraduate,Male,8.409090909090908
20,Student_20,Machine Learning Laboratory,10,0,3,66.91701714644849,Postgraduate,Male,8.409090909090908
21,Student_21,Database Management System,9,2,2,59.65885829264378,Postgraduate,Female,8.409090909090908
21,Student_21,Machine Learning,7,3,0,59.65885829264378,Postgraduate,Female,8.409090909090908
21,Student_21,Design and Analysis of Algorithms,8,0,3,59.65885829264378,Postgraduate,Female,8.409090909090908
21,Student_21,Computer Organization and Architecture,9,4,0,59.65885829264378,Postgraduate,Female,8.409090909090908
21,Student_21,Microprocessor and Microcontroller,8,5,3,59.65885829264378,Postgraduate,Female,8.409090909090908
21,Student_21,Economics for Engineers,9,1,1,59.65885829264378,Postgraduate,Female,8.409090909090908
21,Student_21,Database Management System Laboratory,9,1,3,59.65885829264378,Postgraduate,Female,8.409090909090908
21,Student_21,Machine Learning Laboratory,9,3,1,59.65885829264378,Postgraduate,Female,8.409090909090908
22,Student_22,Database Management System,6,3,1,87.7767682189851,Postgraduate,Female,7.909090909090909
22,Student_22,Machine Learning,9,3,3,87.7767682189851,Postgraduate,Female,7.909090909090909
22,Student_22,Design and Analysis of Algorithms,5,4,1,87.7767682189851,Postgraduate,Female,7.909090909090909
22,Student_22,Computer Organization and Architecture,9,2,2,87.7767682189851,Postgraduate,Female,7.909090909090909
22,Student_22,Microprocessor and Microcontroller,9,2,1,87.7767682189851,Postgraduate,Female,7.909090909090909
22,Student_22,Economics for Engineers,10,3,3,87.7767682189851,Postgraduate,Female,7.909090909090909
22,Student_22,Database Management System Laboratory,7,2,0,87.7767682189851,Postgraduate,Female,7.909090909090909
22,Student_22,Machine Learning Laboratory,9,2,2,87.7767682189851,Postgraduate,Female,7.909090909090909
23,Student_23,Database Management System,9,4,0,69.96762514334252,Graduate,Male,8.772727272727273
23,Student_23,Machine Learning,7,0,1,69.96762514334252,Graduate,Male,8.772727272727273
23,Student_23,Design and Analysis of Algorithms,10,1,0,69.96762514334252,Graduate,Male,8.772727272727273
23,Student_23,Computer Organization and Architecture,8,5,2,69.96762514334252,Graduate,Male,8.772727272727273
23,Student_23,Microprocessor and Microcontroller,10,1,3,69.96762514334252,Graduate,Male,8.772727272727273
23,Student_23,Economics for Engineers,8,4,3,69.96762514334252,Graduate,Male,8.772727272727273
23,Student_23,Database Management System Laboratory,9,5,1,69.96762514334252,Graduate,Male,8.772727272727273
23,Student_23,Machine Learning Laboratory,10,1,0,69.96762514334252,Graduate,Male,8.772727272727273
24,Student_24,Database Management System,10,2,2,85.4531279300761,Graduate,Female,8.909090909090908
24,Student_24,Machine Learning,8,3,0,85.4531279300761,Graduate,Female,8.909090909090908
24,Student_24,Design and Analysis of Algorithms,10,2,2,85.4531279300761,Graduate,Female,8.909090909090908
24,Student_24,Computer Organization and Architecture,8,3,1,85.4531279300761,Graduate,Female,8.909090909090908
24,Student_24,Microprocessor and Microcontroller,7,5,1,85.4531279300761,Graduate,Female,8.909090909090908
24,Student_24,Economics for Engineers,10,4,3,85.4531279300761,Graduate,Female,8.909090909090908
24,Student_24,Database Management System Laboratory,10,0,0,85.4531279300761,Graduate,Female,8.909090909090908
24,Student_24,Machine Learning Laboratory,9,5,1,85.4531279300761,Graduate,Female,8.909090909090908
25,Student_25,Database Management System,10,1,3,95.84477230541563,Postgraduate,Female,9.863636363636363
25,Student_25,Machine Learning,10,4,1,95.84477230541563,Postgraduate,Female,9.863636363636363
25,Student_25,Design and Analysis of Algorithms,10,5,0,95.84477230541563,Postgraduate,Female,9.863636363636363
25,Student_25,Computer Organization and Architecture,10,3,1,95.84477230541563,Postgraduate,Female,9.863636363636363
25,Student_25,Microprocessor and Microcontroller,10,0,2,95.84477230541563,Postgraduate,Female,9.863636363636363
25,Student_25,Economics for Engineers,10,4,3,95.84477230541563,Postgraduate,Female,9.863636363636363
25,Student_25,Database Management System Laboratory,7,3,3,95.84477230541563,Postgraduate,Female,9.863636363636363
25,Student_25,Machine Learning Laboratory,10,5,0,95.84477230541563,Postgraduate,Female,9.863636363636363
26,Student_26,Database Management System,8,1,2,88.90903496185275,Graduate,Female,7.2727272727272725
26,Student_26,Machine Learning,9,4,3,88.90903496185275,Graduate,Female,7.2727272727272725
26,Student_26,Design and Analysis of Algorithms,5,3,2,88.90903496185275,Graduate,Female,7.2727272727272725
26,Student_26,Computer Organization and Architecture,8,3,2,88.90903496185275,Graduate,Female,7.2727272727272725
26,Student_26,Microprocessor and Microcontroller,8,5,0,88.90903496185275,Graduate,Female,7.2727272727272725
26,Student_26,Economics for Engineers,6,4,2,88.90903496185275,Graduate,Female,7.2727272727272725
26,Student_26,Database Management System Laboratory,10,1,0,88.90903496185275,Graduate,Female,7.2727272727272725
26,Student_26,Machine Learning Laboratory,5,4,3,88.90903496185275,Graduate,Female,7.2727272727272725
27,Student_27,Database Management System,9,5,2,68.98031321103615,High School,Male,9.136363636363637
27,Student_27,Machine Learning,10,4,1,68.98031321103615,High School,Male,9.136363636363637
27,Student_27,Design and Analysis of Algorithms,10,4,3,68.98031321103615,High School,Male,9.136363636363637
27,Student_27,Computer Organization and Architecture,10,2,2,68.98031321103615,High School,Male,9.136363636363637
27,Student_27,Microprocessor and Microcontroller,8,3,3,68.98031321103615,High School,Male,9.136363636363637
27,Student_27,Economics for Engineers,8,4,1,68.98031321103615,High School,Male,9.136363636363637
27,Student_27,Database Management System Laboratory,8,4,0,68.98031321103615,High School,Male,9.136363636363637
27,Student_27,Machine Learning Laboratory,8,5,3,68.98031321103615,High School,Male,9.136363636363637
28,Student_28,Database Management System,8,5,3,82.6025109463536,High School,Male,9.045454545454545
28,Student_28,Machine Learning,10,0,0,82.6025109463536,High School,Male,9.045454545454545
28,Student_28,Design and Analysis of Algorithms,10,1,1,82.6025109463536,High School,Male,9.045454545454545
28,Student_28,Computer Organization and Architecture,10,2,1,82.6025109463536,High School,Male,9.045454545454545
28,Student_28,Microprocessor and Microcontroller,9,1,3,82.6025109463536,High School,Male,9.045454545454545
28,Student_28,Economics for Engineers,7,0,3,82.6025109463536,High School,Male,9.045454545454545
28,Student_28,Database Management System Laboratory,9,4,1,82.6025109463536,High School,Male,9.045454545454545
28,Student_28,Machine Learning Laboratory,8,2,2,82.6025109463536,High School,Male,9.045454545454545
29,Student_29,Database Management System,8,5,1,71.47875279696326,Graduate,Female,8.727272727272727
29,Student_29,Machine Learning,10,4,3,71.47875279696326,Graduate,Female,8.727272727272727
29,Student_29,Design and Analysis of Algorithms,9,4,0,71.47875279696326,Graduate,Female,8.727272727272727
29,Student_29,Computer Organization and Architecture,8,1,2,71.47875279696326,Graduate,Female,8.727272727272727
29,Student_29,Microprocessor and Microcontroller,8,3,1,71.47875279696326,Graduate,Female,8.727272727272727
29,Student_29,Economics for Engineers,10,2,1,71.47875279696326,Graduate,Female,8.727272727272727
29,Student_29,Database Management System Laboratory,9,1,1,71.47875279696326,Graduate,Female,8.727272727272727
29,Student_29,Machine Learning Laboratory,7,5,1,71.47875279696326,Graduate,Female,8.727272727272727
30,Student_30,Database Management System,7,3,3,70.74678765838155,High School,Male,8.545454545454545
30,Student_30,Machine Learning,8,4,3,70.74678765838155,High School,Male,8.545454545454545
30,Student_30,Design and Analysis of Algorithms,8,1,0,70.74678765838155,High School,Male,8.545454545454545
30,Student_30,Computer Organization and Architecture,8,0,1,70.74678765838155,High School,Male,8.545454545454545
30,Student_30,Microprocessor and Microcontroller,10,4,0,70.74678765838155,High School,Male,8.545454545454545
30,Student_30,Economics for Engineers,10,0,0,70.74678765838155,High School,Male,8.545454545454545
30,Student_30,Database Management System Laboratory,9,4,2,70.74678765838155,High School,Male,8.545454545454545
30,Student_30,Machine Learning Laboratory,10,3,0,70.74678765838155,High School,Male,8.545454545454545
31,Student_31,Database Management System,10,1,2,83.52246489030269,Postgraduate,Female,9.136363636363637
31,Student_31,Machine Learning,10,3,2,83.52246489030269,Postgraduate,Female,9.136363636363637
31,Student_31,Design and Analysis of Algorithms,10,3,1,83.52246489030269,Postgraduate,Female,9.136363636363637
31,Student_31,Computer Organization and Architecture,10,4,2,83.52246489030269,Postgraduate,Female,9.136363636363637
31,Student_31,Microprocessor and Microcontroller,10,1,0,83.52246489030269,Postgraduate,Female,9.136363636363637
31,Student_31,Economics for Engineers,5,0,0,83.52246489030269,Postgraduate,Female,9.136363636363637
31,Student_31,Database Management System Laboratory,7,4,3,83.52246489030269,Postgraduate,Female,9.136363636363637
31,Student_31,Machine Learning Laboratory,9,4,1,83.52246489030269,Postgraduate,Female,9.136363636363637
32,Student_32,Database Management System,7,5,0,55.0,Postgraduate,Male,8.772727272727273
32,Student_32,Machine Learning,9,2,1,55.0,Postgraduate,Male,8.772727272727273
32,Student_32,Design and Analysis of Algorithms,8,1,1,55.0,Postgraduate,Male,8.772727272727273
32,Student_32,Computer Organization and Architecture,9,5,1,55.0,Postgraduate,Male,8.772727272727273
32,Student_32,Microprocessor and Microcontroller,10,4,2,55.0,Postgraduate,Male,8.772727272727273
32,Student_32,Economics for Engineers,10,1,2,55.0,Postgraduate,Male,8.772727272727273
32,Student_32,Database Management System Laboratory,9,3,3,55.0,Postgraduate,Male,8.772727272727273
32,Student_32,Machine Learning Laboratory,8,0,0,55.0,Postgraduate,Male,8.772727272727273
33,Student_33,Database Management System,10,4,2,67.9552989654047,Postgraduate,Male,8.227272727272727
33,Student_33,Machine Learning,9,1,2,67.9552989654047,Postgraduate,Male,8.227272727272727
33,Student_33,Design and Analysis of Algorithms,8,5,2,67.9552989654047,Postgraduate,Male,8.227272727272727
33,Student_33,Computer Organization and Architecture,6,5,0,67.9552989654047,Postgraduate,Male,8.227272727272727
33,Student_33,Microprocessor and Microcontroller,10,1,2,67.9552989654047,Postgraduate,Male,8.227272727272727
33,Student_33,Economics for Engineers,8,4,2,67.9552989654047,Postgraduate,Male,8.227272727272727
33,Student_33,Database Management System Laboratory,7,4,3,67.9552989654047,Postgraduate,Male,8.227272727272727
33,Student_33,Machine Learning Laboratory,7,4,3,67.9552989654047,Postgraduate,Male,8.227272727272727
34,Student_34,Database Management System,10,3,3,67.71684850052114,Postgraduate,Female,9.454545454545455
34,Student_34,Machine Learning,9,5,0,67.71684850052114,Postgraduate,Female,9.454545454545455
34,Student_34,Design and Analysis of Algorithms,10,3,1,67.71684850052114,Postgraduate,Female,9.454545454545455
34,Student_34,Computer Organization and Architecture,10,1,1,67.71684850052114,Postgraduate,Female,9.454545454545455
34,Student_34,Microprocessor and Microcontroller,7,0,1,67.71684850052114,Postgraduate,Female,9.454545454545455
34,Student_34,Economics for Engineers,10,1,0,67.71684850052114,Postgraduate,Female,9.454545454545455
34,Student_34,Database Management System Laboratory,10,5,2,67.71684850052114,Postgraduate,Female,9.454545454545455
34,Student_34,Machine Learning Laboratory,10,4,0,67.71684850052114,Postgraduate,Female,9.454545454545455
35,Student_35,Database Management System,8,0,1,86.03025266777783,Graduate,Female,9.181818181818182
35,Student_35,Machine Learning,9,5,1,86.03025266777783,Graduate,Female,9.181818181818182
35,Student_35,Design and Analysis of Algorithms,10,5,0,86.03025266777783,Graduate,Female,9.181818181818182
35,Student_35,Computer Organization and Architecture,10,2,3,86.03025266777783,Graduate,Female,9.181818181818182
35,Student_35,Microprocessor and Microcontroller,9,4,2,86.03025266777783,Graduate,Female,9.181818181818182
35,Student_35,Economics for Engineers,8,4,3,86.03025266777783,Graduate,Female,9.181818181818182
35,Student_35,Database Management System Laboratory,10,1,3,86.03025266777783,Graduate,Female,9.181818181818182
35,Student_35,Machine Learning Laboratory,10,4,3,86.03025266777783,Graduate,Female,9.181818181818182
36,Student_36,Database Management System,7,2,3,86.51425374464732,Postgraduate,Female,8.818181818181818
36,Student_36,Machine Learning,8,2,1,86.51425374464732,Postgraduate,Female,8.818181818181818
36,Student_36,Design and Analysis of Algorithms,9,5,1,86.51425374464732,Postgraduate,Female,8.818181818181818
36,Student_36,Computer Organization and Architecture,10,3,2,86.51425374464732,Postgraduate,Female,8.818181818181818
36,Student_36,Microprocessor and Microcontroller,9,2,0,86.51425374464732,Postgraduate,Female,8.818181818181818
36,Student_36,Economics for Engineers,9,1,0,86.51425374464732,Postgraduate,Female,8.818181818181818
36,Student_36,Database Management System Laboratory,10,0,3,86.51425374464732,Postgraduate,Female,8.818181818181818
36,Student_36,Machine Learning Laboratory,9,2,3,86.51425374464732,Postgraduate,Female,8.818181818181818
37,Student_37,Database Management System,8,5,1,59.42047682323332,Postgraduate,Female,9.045454545454545
37,Student_37,Machine Learning,10,3,2,59.42047682323332,Postgraduate,Female,9.045454545454545
37,Student_37,Design and Analysis of Algorithms,10,1,0,59.42047682323332,Postgraduate,Female,9.045454545454545
37,Student_37,Computer Organization and Architecture,10,5,3,59.42047682323332,Postgraduate,Female,9.045454545454545
37,Student_37,Microprocessor and Microcontroller,8,4,0,59.42047682323332,Postgraduate,Female,9.045454545454545
